FID,x,y,lslpts
0,2769181.434729999862611,1180669.242610000073910,1
1,2769133.136669999919832,1180685.778889999957755,1
2,2768449.500000000000000,1180696.000000000000000,1
3,2769221.695650000125170,1180694.865939999930561,1
4,2769216.250000000000000,1180709.250000000000000,1
5,2769224.042789999861270,1180719.033779999939725,1
6,2768418.166670000180602,1180721.562500000000000,1
7,2768762.252619999926537,1180720.785459999926388,1
8,2769177.318330000154674,1180716.171689999988303,1
9,2768153.867019999772310,1180741.324470000108704,1
10,2769250.939809999894351,1180743.266039999900386,1
11,2768154.250000000000000,1180746.418250000104308,1
12,2768887.000000000000000,1180770.750000000000000,1
13,2768895.000000000000000,1180773.000000000000000,1
14,2769256.197509999852628,1180757.000000000000000,1
15,2769093.774999999906868,1180785.425000000046566,1
16,2768384.676829999778420,1180791.189019999932498,1
17,2768374.465979999862611,1180794.759229999966919,1
18,2768123.667909999843687,1180809.242540000006557,1
19,2768119.000000000000000,1180816.750000000000000,1
20,2768176.960529999807477,1180821.302630000049248,1
21,2768030.750000000000000,1180829.250000000000000,1
22,2768017.250000000000000,1180832.477269999915734,1
23,2768022.850000000093132,1180837.475000000093132,1
24,2768138.625000000000000,1180834.250000000000000,1
25,2768031.577269999776036,1180840.949999999953434,1
26,2767982.797619999852031,1180839.976190000073984,1
27,2768030.750000000000000,1180848.750000000000000,1
28,2768036.120970000047237,1180851.814520000014454,1
29,2767968.000000000000000,1180852.000000000000000,1
30,2768001.489329999778420,1180853.250000000000000,1
31,2768019.767109999898821,1180861.750000000000000,1
32,2768029.250000000000000,1180866.500000000000000,1
33,2769096.053569999989122,1180894.571430000010878,1
34,2768014.483330000191927,1180900.250000000000000,1
35,2767996.330649999901652,1180913.435479999985546,1
36,2767967.685899999924004,1180919.032050000037998,1
37,2768056.791319999843836,1180923.725080000003800,1
38,2769152.789059999864548,1180936.296880000038072,1
39,2769549.656669999938458,1180954.149999999906868,1
40,2769041.750000000000000,1180956.750000000000000,1
41,2768122.175929999910295,1180968.583330000052229,1
42,2769522.127499999944121,1180966.355669999960810,1
43,2769551.438310000114143,1180972.444810000015423,1
44,2769198.151870000176132,1180990.277599999913946,1
45,2769512.728259999770671,1180995.090219999896362,1
46,2768632.625000000000000,1181014.250000000000000,1
47,2768591.659090000204742,1181089.590910000028089,1
48,2768584.500000000000000,1181097.500000000000000,1
49,2768898.930439999792725,1181182.203059999970719,1
50,2768098.375000000000000,1181201.000000000000000,1
51,2767518.991380000021309,1181197.544830000028014,1
52,2768531.439660000149161,1181222.318969999905676,1
53,2767466.093020000029355,1181213.260040000081062,1
54,2768099.750000000000000,1181230.500000000000000,1
55,2768116.653229999821633,1181234.517740000039339,1
56,2767467.875000000000000,1181236.000000000000000,1
57,2768946.916670000180602,1181244.683329999912530,1
58,2768939.889150000177324,1181280.132590000052005,1
59,2768289.875680000055581,1181295.043719999957830,1
60,2768261.783330000005662,1181299.483329999959096,1
61,2769017.840760000050068,1181309.000000000000000,1
62,2768668.375000000000000,1181313.250000000000000,1
63,2768987.250000000000000,1181318.250000000000000,1
64,2769054.711490000132471,1181324.514350000070408,1
65,2768952.688599999994040,1181334.074560000095516,1
66,2769303.250000000000000,1181368.141300000017509,1
67,2768994.000000000000000,1181371.500000000000000,1
68,2768984.398940000217408,1181382.813830000115559,1
69,2769296.797929999884218,1181376.784860000014305,1
70,2768906.983729999978095,1181382.699699999997392,1
71,2768292.531250000000000,1181393.375000000000000,1
72,2768920.681510000023991,1181408.044519999995828,1
73,2768977.000000000000000,1181410.750000000000000,1
74,2768957.861109999939799,1181426.541669999947771,1
75,2768256.250000000000000,1181432.250000000000000,1
76,2769908.202810000162572,1181432.216479999944568,1
77,2768293.635819999966770,1181438.507220000028610,1
78,2769025.311900000087917,1181451.611899999901652,1
79,2768284.738739999942482,1181449.448959999950603,1
80,2769322.581999999936670,1181448.570509999990463,1
81,2769331.265620000194758,1181457.381479999981821,1
82,2769357.909529999829829,1181448.505039999959990,1
83,2772182.613429999910295,1181475.618550000013784,1
84,2773842.018000000156462,1181501.759000000078231,1
85,2772168.843750000000000,1181520.937500000000000,1
86,2772163.637500000186265,1181527.162500000093132,1
87,2768263.133619999978691,1181543.586210000095889,1
88,2769146.739049999974668,1181544.239049999974668,1
89,2774047.000000000000000,1181562.250000000000000,1
90,2768343.000000000000000,1181575.500000000000000,1
91,2768333.500000000000000,1181579.250000000000000,1
92,2768345.000000000000000,1181591.750000000000000,1
93,2768321.281349999830127,1181594.902340000029653,1
94,2768362.062539999838918,1181600.936620000051335,1
95,2768365.955120000056922,1181603.048219999996945,1
96,2768346.371300000231713,1181603.812129999976605,1
97,2768353.557479999959469,1181608.900880000088364,1
98,2768324.363359999842942,1181614.765810000011697,1
99,2769312.162640000227839,1181615.250000000000000,1
100,2768357.037649999838322,1181618.676849999930710,1
101,2768337.757340000011027,1181623.750000000000000,1
102,2769620.014709999784827,1181626.308819999918342,1
103,2768114.702899999916553,1181623.002159999916330,1
104,2768386.171829999890178,1181632.318089999957010,1
