FID,x,y,lslpts
0,2776131.149759999942034,1185828.096009999979287,0
1,2767918.307560000102967,1180917.672669999999925,0
2,2773908.227359999902546,1182687.269180000061169,0
3,2768823.447550000157207,1182711.130300000077114,0
4,2767971.080020000226796,1180930.252039999933913,0
5,2773355.987370000220835,1186713.768179999897256,0
6,2769738.570170000195503,1182470.063300000037998,0
7,2770588.977620000019670,1185911.434399999910966,0
8,2768164.267549999989569,1183178.089750000042841,0
9,2768493.087869999930263,1184815.704769999952987,0
10,2766756.367599999997765,1181732.640159999951720,0
11,2771289.168149999808520,1184561.434780000010505,0
12,2767795.409070000052452,1183773.241540000075474,0
13,2774957.658590000122786,1185719.127679999917746,0
14,2776081.109170000068843,1185724.467939999885857,0
15,2769375.757770000025630,1183432.077939999988303,0
16,2774526.379879999905825,1186504.600589999929070,0
17,2768234.721210000105202,1184285.578879999928176,0
18,2775345.596890000160784,1184639.739330000011250,0
19,2776396.277429999783635,1187614.434439999982715,0
20,2767959.645870000123978,1183600.693369999993593,0
21,2771120.703209999948740,1185024.967239999910817,0
22,2774087.562270000111312,1183929.706400000024587,0
23,2770944.965760000050068,1184754.878449999960139,0
24,2774741.152220000047237,1185376.535529999993742,0
25,2775999.954799999948591,1186758.837479999987409,0
26,2768730.340090000070632,1183117.303229999961331,0
27,2771151.724340000189841,1184973.162419999949634,0
28,2768828.440160000231117,1182692.275700000114739,0
29,2768881.077229999937117,1181089.446980000007898,0
30,2774443.681350000202656,1187253.682479999959469,0
31,2769528.940169999841601,1183696.535579999908805,0
32,2769208.248209999874234,1184671.420179999899119,0
33,2774372.106660000048578,1182521.128560000099242,0
34,2769000.241859999950975,1184852.067359999986365,0
35,2769060.153650000225753,1182986.874469999922439,0
36,2769887.039830000139773,1185655.731810000026599,0
37,2768224.913540000095963,1184184.201619999948889,0
38,2768522.066769999917597,1181660.855979999992996,0
39,2775446.787949999794364,1186074.483659999910742,0
40,2768946.354119999799877,1183783.587610000045970,0
41,2767821.349899999797344,1181596.316660000011325,0
42,2774891.642459999769926,1186883.054250000044703,0
43,2767952.139320000074804,1181738.913100000005215,0
44,2770078.964139999821782,1182400.031710000010207,0
45,2767955.798690000083297,1181508.616029999917373,0
46,2767303.152819999959320,1182001.174429999897256,0
47,2770579.692729999776930,1185535.222039999905974,0
48,2768543.955060000065714,1185052.138569999951869,0
49,2774012.148159999866039,1184217.570770000107586,0
50,2773601.274120000191033,1182419.141700000036508,0
51,2770730.042220000177622,1186072.381160000106320,0
52,2769196.311550000216812,1185127.922550000017509,0
53,2768781.091169999912381,1181413.423549999948591,0
54,2775967.310980000067502,1185703.744339999975637,0
55,2769650.154140000231564,1184204.885319999884814,0
56,2769909.798270000144839,1185647.716010000091046,0
57,2776081.013569999951869,1185893.116979999933392,0
58,2769769.463039999827743,1184189.130750000011176,0
59,2769202.659599999897182,1183627.105059999972582,0
60,2775560.661700000055134,1185412.849189999978989,0
61,2771125.268310000188649,1185771.741480000084266,0
62,2770150.644390000030398,1182272.334700000006706,0
63,2767760.674870000220835,1182963.347589999902993,0
64,2774164.874530000146478,1184439.933919999981299,0
65,2769742.468770000152290,1185580.665000000037253,0
66,2767873.707220000214875,1183918.046439999947324,0
67,2768002.944579999893904,1181026.141190000111237,0
68,2776337.150979999918491,1186840.912049999926239,0
69,2774939.287070000078529,1185407.386549999937415,0
70,2771696.888749999925494,1184638.361010000109673,0
71,2769611.541670000180602,1181680.707829999970272,0
72,2772222.030030000023544,1186164.114270000020042,0
73,2769088.260830000042915,1182486.551100000040606,0
74,2769580.344380000140518,1184121.196980000007898,0
75,2768335.286110000219196,1183332.122919999994338,0
76,2775867.546140000224113,1186610.746250000083819,0
77,2770659.560099999886006,1186031.270470000104979,0
78,2770043.889380000066012,1186171.285559999989346,0
79,2769139.965170000214130,1184485.944219999946654,0
80,2775658.301489999983460,1185114.044440000085160,0
81,2768883.273339999839664,1185190.392560000065714,0
82,2776047.498589999973774,1186228.522769999923185,0
83,2776198.059609999880195,1185833.054809999885038,0
84,2767673.812959999777377,1182347.668009999906644,0
85,2774538.578970000147820,1182552.201270000077784,0
86,2768148.298880000133067,1182707.157859999919310,0
87,2774813.414379999972880,1184262.447159999981523,0
88,2771215.639179999940097,1182020.191159999929368,0
89,2770789.762089999858290,1183846.168060000054538,0
90,2773279.044449999928474,1186270.484600000083447,0
91,2774057.182159999851137,1182442.526739999884740,0
92,2772188.932359999977052,1186411.137510000029579,0
93,2768535.927740000188351,1181991.839810000034049,0
94,2770232.661460000090301,1184212.599709999980405,0
95,2768882.141820000018924,1182582.549099999945611,0
96,2767345.160050000064075,1182730.242330000037327,0
97,2775324.854650000110269,1184913.078089999966323,0
98,2776608.792799999937415,1186692.905950000043958,0
99,2767852.746809999924153,1182019.692580000031739,0
100,2767395.546810000203550,1183324.752270000055432,0
101,2769003.023039999883622,1185683.827689999947324,0
102,2774290.559350000228733,1185254.953979999991134,0
103,2769643.184659999795258,1185142.977489999961108,0
104,2769688.095199999865144,1183396.361999999964610,0
105,2768496.781299999915063,1181764.703599999891594,0
106,2769941.717619999777526,1184706.982270000036806,0
107,2772586.074140000157058,1183730.358359999954700,0
108,2769925.507759999949485,1186282.688670000061393,0
109,2776990.856399999931455,1186235.759430000092834,0
110,2776566.929609999991953,1186756.973539999919012,0
111,2768444.664659999776632,1181403.075570000102744,0
112,2775638.752919999882579,1186764.779480000026524,0
113,2768806.786609999835491,1185373.148039999883622,0
114,2767859.313159999903291,1182363.801789999939501,0
115,2769390.107479999773204,1181683.939710000064224,0
116,2774061.701929999981076,1184104.471700000111014,0
117,2772749.488369999919087,1184164.913329999893904,0
118,2775741.058929999824613,1185727.429620000068098,0
119,2773294.419149999972433,1184392.450519999954849,0
120,2767913.465650000143796,1181544.727859999984503,0
121,2775259.518439999781549,1186999.217489999951795,0
122,2767825.953569999895990,1181451.797849999973550,0
123,2776970.126019999850541,1186278.095250000013039,0
124,2767595.158090000040829,1182756.913010000018403,0
125,2767541.301159999798983,1182847.951619999948889,0
126,2776614.041720000095665,1186756.255420000059530,0
127,2769901.374199999962002,1184130.415460000047460,0
128,2775408.862949999980628,1184295.567090000025928,0
129,2768773.382590000052005,1182711.379609999945387,0
130,2770651.472339999862015,1182031.245649999938905,0
131,2768701.654509999789298,1182890.669509999919683,0
132,2771494.290440000128001,1186876.508140000049025,0
133,2774124.829909999854863,1182505.439000000013039,0
134,2769100.366789999883622,1181738.210320000071079,0
135,2769089.217160000000149,1184248.455539999995381,0
136,2770789.820969999767840,1185111.493049999931827,0
137,2773930.605010000057518,1186469.718989999964833,0
138,2768657.711519999895245,1182372.746730000013486,0
139,2773612.004689999856055,1183731.479019999969751,0
140,2768988.680410000029951,1183737.621909999987110,0
141,2777008.249270000029355,1186042.929779999889433,0
142,2769671.190429999958724,1185641.956509999930859,0
143,2772311.584759999997914,1183650.777990000089630,0
144,2770638.397599999792874,1184184.603610000107437,0
145,2775450.784279999788851,1185675.901120000053197,0
146,2767647.651010000146925,1182719.549459999892861,0
147,2772973.814679999835789,1187125.062829999951646,0
148,2768091.527569999918342,1182650.116549999918789,0
149,2774822.609809999819845,1184611.985480000032112,0
150,2768961.749540000222623,1185561.026280000107363,0
151,2777174.851600000169128,1186855.902449999935925,0
152,2770552.582020000088960,1185941.337740000104532,0
153,2774161.019479999784380,1184739.903519999934360,0
154,2769681.078430000226945,1181847.238730000099167,0
155,2775382.510189999826252,1186653.876459999941289,0
156,2773786.384349999949336,1182370.855909999925643,0
157,2771412.494859999977052,1185876.830790000036359,0
158,2773611.329820000100881,1181613.800569999963045,0
159,2769358.470610000193119,1181740.783049999969080,0
160,2768785.124629999976605,1182369.258210000116378,0
161,2769348.014829999767244,1184368.875779999885708,0
162,2774734.712890000082552,1184119.291089999955148,0
163,2768762.659640000201762,1181070.011720000067726,0
164,2769611.613280000165105,1183851.301590000046417,0
165,2768570.892719999887049,1181914.129449999891222,0
166,2769121.990079999901354,1181988.630910000065342,0
167,2770433.039530000183731,1184273.986980000045151,0
168,2773176.216299999970943,1185835.557329999981448,0
169,2775445.082990000024438,1185378.573129999917001,0
170,2769063.200310000218451,1185696.368999999947846,0
171,2770615.624470000155270,1183964.400970000075176,0
172,2768152.676250000018626,1181432.397240000078455,0
173,2768892.254769999999553,1183964.493659999920055,0
174,2769916.470960000064224,1182514.613670000107959,0
175,2773992.339170000050217,1185410.781509999884292,0
176,2773796.255330000072718,1182526.061810000101104,0
177,2769130.436660000123084,1183875.408959999913350,0
178,2769040.940299999900162,1181133.913630000082776,0
179,2768629.258479999843985,1181490.430320000043139,0
180,2769441.067919999826699,1183067.628580000018701,0
181,2768876.723900000099093,1185124.063599999994040,0
182,2774200.201719999779016,1184213.963579999981448,0
183,2772880.850060000084341,1182910.961869999999180,0
