FID,x,y,lslpts
0,2524387.000000000000000,1179917.500000000000000,1
1,2525196.500000000000000,1180361.500000000000000,1
2,2526530.981240000110120,1180562.205360000021756,1
3,2526724.156250000000000,1180935.656250000000000,1
4,2526866.760699999984354,1181001.545970000093803,1
5,2526908.833329999819398,1181022.638890000060201,1
6,2526625.888890000060201,1181128.333330000052229,1
7,2526861.089290000032634,1181168.250000000000000,1
8,2525553.000000000000000,1181734.000000000000000,1
9,2526655.930850000120699,1181862.271279999986291,1
10,2526414.192619999870658,1182523.643440000014380,1
11,2526711.258870000019670,1182774.541040000040084,1
12,2530046.388569999951869,1182847.935130000114441,1
13,2530023.453129999805242,1182851.218750000000000,1
14,2530049.512889999896288,1182860.304119999986142,1
15,2530028.625729999970645,1182868.827300000004470,1
16,2527591.828949999995530,1182938.342110000085086,1
17,2527578.250000000000000,1182937.750000000000000,1
18,2527646.535709999967366,1182980.059519999893382,1
19,2527410.750000000000000,1183033.500000000000000,1
20,2528130.294439999852329,1183096.475309999892488,1
21,2527857.857079999987036,1183159.315939999883994,1
22,2527843.390420000068843,1183171.136249999981374,1
23,2528085.400320000015199,1183227.781479999888688,1
24,2531527.750000000000000,1184057.500000000000000,1
25,2531438.460340000223368,1184394.316820000065491,1
