FID,CID,x,y,lslpts
0,0,2525083.807839999906719,1181323.871270000003278,0
1,0,2525283.085359999909997,1180573.454930000007153,0
2,0,2525655.313630000222474,1182574.270610000006855,0
3,0,2526266.995039999950677,1182153.604659999953583,0
4,0,2525290.700559999793768,1181908.843159999931231,0
5,0,2527918.835909999907017,1182996.002659999998286,0
6,0,2525319.662800000049174,1179803.581879999954253,0
7,0,2526159.437859999947250,1182137.738020000047982,0
8,0,2525571.998070000205189,1180121.295570000074804,0
9,0,2525884.713709999807179,1180565.696599999908358,0
10,0,2524391.952870000153780,1180360.492540000006557,0
11,0,2525636.471760000102222,1180568.994110000086948,0
12,0,2527600.159949999768287,1182761.276779999956489,0
13,0,2525950.631260000169277,1181459.910410000011325,0
14,0,2526154.766019999980927,1182043.117989999940619,0
15,0,2526597.469510000199080,1181567.706430000020191,0
16,0,2526983.617389999795705,1182799.478559999959543,0
17,0,2525238.521459999959916,1182086.619560000021011,0
18,0,2524584.008080000057817,1179848.196890000021085,0
19,0,2526943.573030000086874,1182468.649680000031367,0
20,0,2526947.845459999982268,1182331.680080000078306,0
21,0,2527346.044739999808371,1183077.341909999959171,0
22,0,2524792.444279999937862,1179799.166200000094250,0
23,0,2526684.361130000092089,1180828.483059999998659,0
24,0,2525303.331060000229627,1182156.501450000097975,0
25,0,2526363.049039999954402,1182486.306420000037178,0
