FID,x,y,lslpts
0,2733927.302629999816418,1201027.671050000004470,1
1,2733917.313490000087768,1201027.924600000027567,1
2,2733877.501050000078976,1201033.099369999952614,1
3,2733765.402069999836385,1201038.909500000067055,1
4,2733970.500000000000000,1201038.000000000000000,1
5,2733892.469510000199080,1201044.250000000000000,1
6,2734134.587950000073761,1201054.300180000020191,1
7,2733879.513160000089556,1201056.618419999955222,1
8,2733889.750000000000000,1201052.750000000000000,1
9,2733995.508619999978691,1201059.525859999936074,1
10,2734025.250000000000000,1201063.750000000000000,1
11,2733770.250000000000000,1201061.250000000000000,1
12,2733870.226739999838173,1201077.877910000039265,1
13,2733685.375000000000000,1201081.237500000046566,1
14,2733884.750000000000000,1201078.250000000000000,1
15,2733913.000000000000000,1201086.750000000000000,1
16,2733854.768519999925047,1201088.879630000097677,1
17,2733678.160709999967366,1201090.419639999978244,1
18,2733812.346429999917746,1201089.660709999967366,1
19,2733783.242459999863058,1201084.176609999965876,1
20,2733889.090909999795258,1201094.022730000084266,1
21,2733781.500000000000000,1201096.500000000000000,1
22,2733929.423469999805093,1201097.239800000097603,1
23,2733934.238369999919087,1201098.703489999985322,1
24,2733863.375000000000000,1201094.500000000000000,1
25,2733898.000000000000000,1201100.750000000000000,1
26,2734200.556350000202656,1201099.264220000011846,1
27,2733792.336959999985993,1201109.576090000104159,1
28,2733888.331400000024587,1201111.331400000024587,1
29,2733814.683670000173151,1201113.051019999897107,1
30,2733869.067069999873638,1201113.164630000013858,1
31,2733776.500000000000000,1201113.814190000062808,1
32,2734251.683960000053048,1201116.287740000057966,1
33,2734240.250000000000000,1201116.522730000084266,1
34,2733827.250000000000000,1201122.916669999947771,1
35,2733908.182060000021011,1201117.875440000090748,1
36,2733879.260199999902397,1201121.744900000048801,1
37,2734232.888160000089556,1201121.809210000094026,1
38,2734316.636789999902248,1201125.117920000106096,1
39,2734115.200619999784976,1201125.009259999962524,1
40,2734223.098360000178218,1201126.786890000104904,1
41,2733969.633810000028461,1201119.820460000075400,1
42,2733736.375000000000000,1201125.250000000000000,1
43,2734246.375000000000000,1201127.500000000000000,1
44,2733849.000000000000000,1201130.000000000000000,1
45,2733770.903059999924153,1201130.719389999983832,1
46,2733763.015629999805242,1201133.625000000000000,1
47,2734294.301260000094771,1201129.192950000055134,1
48,2733766.500000000000000,1201134.500000000000000,1
49,2733890.267700000200421,1201134.453539999900386,1
50,2734244.344589999876916,1201137.317569999955595,1
51,2733728.000000000000000,1201138.750000000000000,1
52,2734141.625000000000000,1201136.750000000000000,1
53,2733901.500000000000000,1201134.250000000000000,1
54,2733651.250000000000000,1201140.250000000000000,1
55,2734239.857689999975264,1201141.973079999908805,1
56,2733810.331079999916255,1201143.006760000018403,1
57,2733661.625000000000000,1201144.250000000000000,1
58,2733938.804349999874830,1201143.793479999992996,1
59,2734259.964290000032634,1201143.972689999965951,1
60,2733853.312500000000000,1201150.296880000038072,1
61,2733653.000000000000000,1201151.500000000000000,1
62,2733816.446430000010878,1201151.732139999978244,1
63,2733748.069780000019819,1201154.607249999884516,1
64,2733663.250000000000000,1201154.750000000000000,1
65,2733640.250000000000000,1201156.750000000000000,1
66,2734166.157889999914914,1201156.845389999914914,1
67,2734239.250000000000000,1201159.250000000000000,1
68,2734079.957220000214875,1201159.817779999924824,1
69,2733679.831629999913275,1201160.984690000070259,1
70,2733878.314329999964684,1201159.285089999902993,1
71,2733625.097219999879599,1201155.057710000080988,1
72,2733928.500000000000000,1201162.250000000000000,1
73,2733934.875000000000000,1201157.250000000000000,1
74,2734333.530700000002980,1201160.002189999911934,1
75,2733643.362240000162274,1201164.933669999940321,1
76,2733654.250000000000000,1201167.750000000000000,1
77,2733714.722020000219345,1201168.110180000076070,1
78,2733826.000000000000000,1201168.500000000000000,1
79,2733631.718590000178665,1201164.279400000115857,1
80,2734180.774579999968410,1201174.584049999946728,1
81,2733659.627859999891371,1201172.885500000091270,1
82,2733797.427010000217706,1201167.716939999954775,1
83,2733634.699740000069141,1201174.252649999922141,1
84,2733643.500000000000000,1201177.750000000000000,1
85,2733811.750000000000000,1201175.750000000000000,1
86,2733669.550309999845922,1201175.403230000054464,1
87,2734218.913459999952465,1201178.173080000095069,1
88,2733917.451150000095367,1201178.324710000073537,1
89,2733986.966219999827445,1201182.655409999890253,1
90,2733793.361109999939799,1201185.166669999947771,1
91,2733684.318549999967217,1201182.596769999945536,1
92,2733914.867190000135452,1201184.523439999902621,1
93,2734025.020310000050813,1201183.250000000000000,1
94,2733952.625000000000000,1201189.000000000000000,1
95,2733978.148649999871850,1201186.827700000023469,1
96,2733878.244700000155717,1201189.090989999938756,1
97,2733914.861109999939799,1201192.972220000112429,1
98,2733844.386359999887645,1201193.954549999907613,1
99,2734003.750000000000000,1201185.250000000000000,1
100,2733766.177269999869168,1201197.731820000102744,1
101,2734169.750000000000000,1201197.486640000017360,1
102,2734030.021029999945313,1201198.236629999941215,1
103,2733861.608829999808222,1201166.767220000037923,1
104,2734010.348480000160635,1201202.712120000040159,1
105,2733951.752170000225306,1201201.447829999960959,1
106,2733839.836959999985993,1201210.706520000007004,1
107,2733731.375000000000000,1201208.500000000000000,1
108,2733975.080719999969006,1201201.662530000088736,1
109,2733793.442230000160635,1201206.780100000090897,1
110,2733912.179519999772310,1201207.466960000107065,1
111,2733754.727400000207126,1201212.216100000077859,1
112,2734184.773080000188202,1201219.642310000024736,1
113,2734127.921050000004470,1201222.118419999955222,1
114,2733883.565789999905974,1201223.881580000044778,1
115,2733789.625000000000000,1201224.750000000000000,1
116,2733995.562500000000000,1201226.187500000000000,1
117,2733744.389690000098199,1201219.405879999976605,1
118,2734023.191310000140220,1201228.238429999910295,1
119,2733603.169999999925494,1201230.370000000111759,1
120,2733483.874530000146478,1201229.000000000000000,1
121,2733691.750000000000000,1201234.500000000000000,1
122,2733772.976030000019819,1201232.989730000030249,1
123,2733721.083329999819398,1201240.527779999887571,1
124,2734313.361109999939799,1201240.611109999939799,1
125,2733887.000000000000000,1201241.750000000000000,1
126,2734125.960529999807477,1201242.434210000094026,1
127,2733598.976559999864548,1201242.390619999961928,1
128,2734345.750000000000000,1201245.074999999953434,1
129,2733995.750000000000000,1201232.750000000000000,1
130,2734349.879999999888241,1201249.713999999919906,1
131,2734128.750000000000000,1201255.000000000000000,1
132,2733743.000000000000000,1201261.250000000000000,1
133,2733878.761630000080913,1201263.819769999943674,1
134,2733245.500000000000000,1201268.000000000000000,1
135,2733991.000000000000000,1201269.223680000053719,1
136,2734336.624400000087917,1201265.138890000060201,1
137,2733651.524009999819100,1201265.495760000078008,1
138,2734435.000000000000000,1201268.250000000000000,1
139,2733684.364750000182539,1201272.168030000058934,1
140,2733707.069829999934882,1201271.488540000049397,1
141,2733986.220590000040829,1201275.250000000000000,1
142,2733929.500000000000000,1201278.750000000000000,1
143,2734710.952500000130385,1201275.524999999906868,1
144,2733925.750000000000000,1201273.000000000000000,1
145,2733740.000000000000000,1201277.000000000000000,1
146,2734053.756759999785572,1201279.213519999990240,1
147,2734449.250000000000000,1201275.500000000000000,1
148,2734442.875000000000000,1201281.500000000000000,1
149,2733512.986839999910444,1201282.802630000049248,1
150,2733708.750000000000000,1201282.500000000000000,1
151,2734782.000000000000000,1201283.500000000000000,1
152,2733726.193219999782741,1201280.820980000076815,1
153,2734361.000000000000000,1201287.500000000000000,1
154,2733485.250000000000000,1201286.500000000000000,1
155,2733492.594829999841750,1201290.612070000031963,1
156,2733467.093750000000000,1201290.121319999918342,1
157,2733733.982139999978244,1201293.607139999978244,1
158,2733744.759870000183582,1201293.391449999995530,1
159,2734008.500000000000000,1201290.750000000000000,1
160,2733731.011899999808520,1201296.059519999893382,1
161,2733874.172460000030696,1201289.709890000056475,1
162,2733435.799999999813735,1201296.757890000008047,1
163,2733819.555970000103116,1201296.200249999994412,1
164,2733647.698210000060499,1201296.932139999931678,1
165,2733618.000000000000000,1201297.250000000000000,1
166,2734006.250000000000000,1201295.500000000000000,1
167,2734043.719109999947250,1201295.763090000022203,1
168,2734756.750000000000000,1201303.000000000000000,1
169,2734825.291929999832064,1201303.910350000020117,1
170,2734396.250000000000000,1201302.000000000000000,1
171,2734005.492420000024140,1201306.522730000084266,1
172,2733628.500000000000000,1201309.000000000000000,1
173,2733734.791670000180602,1201304.607640000060201,1
174,2733818.250000000000000,1201314.000000000000000,1
175,2733815.596150000113994,1201315.076919999904931,1
176,2733875.993149999994785,1201314.283180000027642,1
177,2734080.750000000000000,1201316.000000000000000,1
