FID,x,y,lslpts
0,2735517.899050000123680,1208163.687059999909252,0
1,2735202.236159999854863,1202942.534419999923557,0
2,2736581.002489999867976,1202752.523060000035912,0
3,2736597.340050000231713,1203992.493340000044554,0
4,2735670.929419999942183,1207272.889960000058636,0
5,2733284.137870000209659,1205074.247500000055879,0
6,2734430.509409999940544,1205011.878560000099242,0
7,2736124.692340000066906,1202102.728289999999106,0
8,2732556.447850000113249,1203017.470269999932498,0
9,2735922.512459999881685,1208850.213149999966845,0
10,2735582.106050000060350,1205757.178760000038892,0
11,2735948.236359999980778,1205821.907009999966249,0
12,2734260.320619999896735,1201982.251420000102371,0
13,2735467.863330000080168,1206725.516559999901801,0
14,2736499.716270000208169,1205944.450999999884516,0
15,2737063.559909999836236,1203691.778960000025108,0
16,2734392.046019999776036,1202205.384989999933168,0
17,2735804.706590000074357,1205350.502289999974892,0
18,2737168.756469999905676,1205874.947380000026897,0
19,2733102.625510000158101,1203835.325369999976829,0
20,2734654.095939999911934,1207177.458300000056624,0
21,2736457.834470000118017,1208651.065179999917746,0
22,2733153.047850000206381,1204101.866589999990538,0
23,2733993.120509999804199,1201119.836940000066534,0
24,2736871.263220000080764,1208558.833630000008270,0
25,2736829.709799999836832,1205772.720669999951497,0
26,2736033.116460000164807,1208166.367610000073910,0
27,2735735.877259999979287,1206469.749989999923855,0
28,2732907.425629999954253,1202889.029199999989942,0
29,2736590.457979999948293,1204059.703770000021905,0
30,2736574.857390000019222,1204793.100240000057966,0
31,2735515.916249999776483,1206598.942299999995157,0
32,2734800.580800000112504,1205241.404589999932796,0
33,2735741.229299999773502,1204993.446340000024065,0
34,2737162.439689999911934,1202080.279090000083670,0
35,2734400.459460000041872,1205446.068759999936447,0
36,2735285.301580000203103,1205060.096940000075847,0
37,2732400.102979999966919,1202498.353529999963939,0
38,2733727.367300000041723,1204948.441809999989346,0
39,2735339.706879999954253,1201499.646230000071228,0
40,2734315.277819999959320,1206617.817220000084490,0
41,2732889.778260000050068,1202563.827039999887347,0
42,2732713.121160000097007,1204875.673590000020340,0
43,2734962.065750000067055,1203989.686010000063106,0
44,2737217.853550000116229,1205119.971050000051036,0
45,2735313.414960000198334,1208409.693320000078529,0
46,2733661.036729999817908,1205790.875350000103936,0
47,2733864.520190000068396,1201828.747220000019297,0
48,2736623.509180000051856,1204653.743470000103116,0
49,2736845.681369999889284,1204319.820890000090003,0
50,2737242.553590000141412,1202546.053679999895394,0
51,2736667.820929999928921,1208834.004149999935180,0
52,2735904.933540000114590,1207873.736629999941215,0
53,2736725.909489999990910,1204561.322979999938980,0
54,2735553.529529999941587,1207511.500810000114143,0
55,2734972.507869999855757,1204658.592560000019148,0
56,2734237.751860000193119,1201314.533439999911934,0
57,2735692.584520000033081,1204888.280329999979585,0
58,2737363.746869999915361,1205392.395340000046417,0
59,2734752.803869999945164,1206188.591449999948964,0
60,2735766.286929999943823,1202892.193879999918863,0
61,2732728.358390000183135,1203447.079600000055507,0
62,2736597.911090000066906,1206258.165210000006482,0
63,2735184.776200000196695,1205073.619249999988824,0
64,2735051.708600000012666,1203734.093760000076145,0
65,2736701.730680000036955,1208235.603730000089854,0
66,2736585.611949999816716,1205519.743830000050366,0
67,2735781.241289999801666,1207139.984510000096634,0
68,2736984.771129999775440,1205096.006499999901280,0
69,2736139.146800000220537,1208755.472310000099242,0
70,2735897.811679999809712,1208086.463280000025406,0
71,2735719.107770000118762,1203712.238450000062585,0
72,2736774.383109999820590,1207178.337280000094324,0
73,2736748.408019999973476,1202293.244110000086948,0
74,2736539.973939999938011,1206387.257840000092983,0
75,2735727.709090000018477,1207041.214440000010654,0
76,2735938.665479999966919,1208406.048489999957383,0
77,2735506.610270000062883,1205553.781230000080541,0
78,2735200.801039999816567,1204218.144769999897107,0
79,2736927.280360000208020,1203055.659429999999702,0
80,2737179.172489999793470,1204452.473389999940991,0
81,2736512.257540000136942,1208645.787259999895468,0
82,2732945.666290000081062,1202440.341860000044107,0
83,2736601.680339999962598,1208835.544560000067577,0
84,2737239.588020000141114,1203788.610670000081882,0
85,2733685.571200000122190,1203285.284710000036284,0
86,2735817.436629999894649,1205992.687230000039563,0
87,2735648.696529999841005,1207055.641419999999925,0
88,2736912.851850000210106,1206982.352939999895170,0
89,2736613.737889999989420,1202903.977620000019670,0
90,2734642.259779999963939,1206308.943350000074133,0
91,2735914.700129999779165,1207578.760139999911189,0
92,2734782.590350000187755,1203860.928360000019893,0
93,2737252.106449999846518,1206430.452860000077635,0
94,2732620.905040000099689,1203427.790299999993294,0
95,2734551.817830000072718,1202955.255489999894053,0
96,2736935.834859999828041,1204462.132040000054985,0
97,2736644.365629999898374,1202628.502850000048056,0
98,2736722.466700000222772,1206252.911030000075698,0
99,2736151.915529999881983,1204651.058200000086799,0
100,2733903.981769999954849,1201164.083640000084415,0
101,2735914.058379999827594,1202094.915169999934733,0
102,2733372.954020000062883,1204329.977010000031441,0
103,2733682.872740000020713,1205344.846780000021681,0
104,2735431.507350000087172,1206462.455509999999776,0
105,2734254.670299999881536,1206008.964039999991655,0
