FID,x,y,lslpts
0,2633305.472970000002533,1206659.539709999924526,0
1,2630745.746350000146776,1210909.222390000009909,0
2,2632379.870389999821782,1208742.502020000014454,0
3,2632250.329499999992549,1208709.873410000000149,0
4,2631661.000560000073165,1209527.966729999985546,0
5,2629997.383820000104606,1211571.121590000111610,0
6,2633181.347910000011325,1210010.485199999995530,0
7,2633510.916439999826252,1208003.188520000083372,0
8,2633107.017640000209212,1210247.151180000044405,0
9,2632142.139979999978095,1208557.294169999891892,0
10,2628306.472899999935180,1211050.276959999930114,0
11,2630768.580610000062734,1209029.347749999957159,0
12,2634316.232450000010431,1207138.169460000004619,0
13,2632576.132139999885112,1208526.705310000106692,0
14,2633231.940679999999702,1210067.220969999907538,0
15,2633397.835369999986142,1209499.542499999981374,0
16,2632281.825069999787956,1208995.263180000009015,0
17,2629714.496270000003278,1211451.824969999957830,0
18,2630476.814449999947101,1211009.242139999987558,0
19,2630373.916300000157207,1210061.169609999982640,0
20,2633223.137500000186265,1209786.877270000055432,0
21,2629233.162239999976009,1210987.970250000013039,0
22,2630828.941699999850243,1211340.826970000052825,0
23,2629443.405300000216812,1211187.598299999954179,0
24,2632139.751139999832958,1210757.084680000087246,0
25,2632874.171959999948740,1210468.855879999930039,0
26,2631537.104989999905229,1209548.515420000068843,0
27,2632990.121549999807030,1210086.008519999915734,0
28,2634105.040980000048876,1207627.688199999975041,0
29,2634291.006500000134110,1207650.859879999887198,0
30,2633187.268769999966025,1207635.097599999979138,0
31,2634309.294309999793768,1207053.606709999963641,0
32,2633534.197470000013709,1208793.129630000097677,0
33,2632007.769869999960065,1208872.458580000093207,0
34,2628999.530989999882877,1211261.006619999883696,0
35,2630500.328360000159591,1210402.515409999992698,0
36,2631785.043980000074953,1210686.363120000110939,0
37,2631800.112850000150502,1210738.676340000005439,0
38,2629669.095280000008643,1210670.256220000097528,0
39,2633843.633640000130981,1207754.717020000098273,0
40,2631035.707529999781400,1211051.103399999905378,0
41,2629022.725740000139922,1211274.441080000018701,0
42,2632978.337220000103116,1207535.168999999994412,0
43,2632075.185560000129044,1210275.744189999997616,0
44,2632286.129490000195801,1208632.576170000014827,0
45,2633818.963640000205487,1207983.408779999939725,0
46,2630740.918969999998808,1210498.703979999991134,0
47,2634008.057839999906719,1207019.816809999989346,0
48,2633694.772259999997914,1208513.539009999949485,0
49,2631315.959689999930561,1210313.933579999953508,0
50,2629032.139359999913722,1211162.595149999950081,0
51,2632037.540459999814630,1208672.668069999897853,0
52,2633269.706309999804944,1208386.812209999887273,0
53,2629973.432550000026822,1211113.083369999891147,0
54,2631833.628080000169575,1209255.771419999888167,0
55,2628833.545309999957681,1210754.394790000049397,0
