FID,x,y,lslpts
0,2634196.045789999887347,1206077.683350000064820,1
1,2633638.850000000093132,1206286.087499999906868,1
2,2633704.375000000000000,1206295.750000000000000,1
3,2633719.250000000000000,1206294.500000000000000,1
4,2633710.905559999868274,1206296.794440000085160,1
5,2633626.500000000000000,1206323.500000000000000,1
6,2634752.796099999919534,1206520.120159999933094,1
7,2633398.181820000056177,1206651.166669999947771,1
8,2634475.232760000042617,1206699.767239999957383,1
9,2634468.440739999990910,1206712.714810000034049,1
10,2632928.938680000137538,1206761.278299999888986,1
11,2634605.250000000000000,1206765.250000000000000,1
12,2634459.796509999781847,1206770.277130000060424,1
13,2634280.750000000000000,1206775.250000000000000,1
14,2634284.125000000000000,1206778.500000000000000,1
15,2634763.486620000097901,1206780.464380000019446,1
16,2634438.063779999967664,1206785.009229999966919,1
17,2634769.875000000000000,1206793.750000000000000,1
18,2633455.118999999947846,1206943.650850000092760,1
19,2634777.960940000135452,1206795.250000000000000,1
20,2634679.319440000224859,1206812.944439999992028,1
21,2633897.837499999906868,1206826.225000000093132,1
22,2634731.416670000180602,1206833.369050000095740,1
23,2634717.138890000060201,1206834.500000000000000,1
24,2634815.000000000000000,1206849.750000000000000,1
25,2634826.040849999990314,1206853.437279999954626,1
26,2634744.500000000000000,1206852.500000000000000,1
27,2634228.250000000000000,1206861.500000000000000,1
28,2634728.509490000084043,1206882.686710000038147,1
29,2634845.514750000089407,1206908.267770000034943,1
30,2633388.591690000146627,1206948.485110000008717,1
31,2634579.510869999881834,1206958.597830000100657,1
32,2633369.141299999784678,1206961.858699999982491,1
33,2634250.965410000178963,1206980.340150000061840,1
34,2633373.197370000183582,1206990.960530000040308,1
35,2633377.250000000000000,1206989.250000000000000,1
36,2633681.370689999777824,1206995.750000000000000,1
37,2632871.250000000000000,1206993.750000000000000,1
38,2634051.913199999835342,1207003.030370000051335,1
39,2634243.500000000000000,1206994.250000000000000,1
40,2634353.958560000173748,1207160.672169999917969,1
41,2633494.758320000022650,1207030.444089999888092,1
42,2634521.636359999887645,1207068.795450000092387,1
43,2633478.649999999906868,1207074.216669999994338,1
44,2633473.441010000184178,1207078.688199999975041,1
45,2633682.448799999896437,1207083.942770000081509,1
46,2634115.125000000000000,1207085.500000000000000,1
47,2633685.474299999885261,1207089.109810000052676,1
48,2634092.875000000000000,1207089.750000000000000,1
49,2634234.676159999798983,1207149.319850000087172,1
50,2634364.171050000004470,1207148.355260000098497,1
51,2634721.964290000032634,1207148.797620000084862,1
52,2634369.000000000000000,1207148.000000000000000,1
53,2632735.063490000087768,1207168.543649999890476,1
54,2634698.500000000000000,1207184.500000000000000,1
55,2632746.656500000040978,1207186.583330000052229,1
56,2633646.647809999994934,1207190.305979999946430,1
57,2634680.641669999808073,1207211.233329999959096,1
58,2634667.555559999775141,1207219.305560000007972,1
59,2634670.678569999989122,1207237.416669999947771,1
60,2634670.750000000000000,1207244.250000000000000,1
61,2634763.503519999794662,1207242.862680000020191,1
62,2634056.160259999800473,1207253.942310000071302,1
63,2634537.645179999992251,1207278.500000000000000,1
64,2634178.981029999908060,1207283.665180000010878,1
65,2634031.669999999925494,1207294.070000000065193,1
66,2634013.500000000000000,1207311.750000000000000,1
67,2634065.959540000185370,1207308.121370000066236,1
68,2634044.197370000183582,1207311.960530000040308,1
69,2634176.250000000000000,1207315.750000000000000,1
70,2632815.887500000186265,1207317.725000000093132,1
71,2634189.246239999774843,1207334.195599999977276,1
72,2634214.658609999809414,1207328.258739999961108,1
73,2634622.750000000000000,1207342.516920000081882,1
74,2634038.691720000002533,1207342.012730000074953,1
75,2633183.375000000000000,1207354.017860000021756,1
76,2633178.173080000095069,1207356.980770000023767,1
77,2632795.045450000092387,1207373.954549999907613,1
78,2632785.202510000206530,1207391.470669999951497,1
79,2634159.983099999837577,1207389.872320000082254,1
80,2634080.130379999987781,1207398.589970000088215,1
81,2633106.050239999778569,1207400.112419999903068,1
82,2634092.181640000082552,1207417.400380000006407,1
83,2634125.347159999888390,1207418.000000000000000,1
84,2634164.242149999830872,1207420.922160000074655,1
85,2634099.583399999886751,1207411.735060000093654,1
86,2634086.075259999837726,1207431.366880000103265,1
87,2634106.758150000125170,1207427.628909999970347,1
88,2634087.107139999978244,1207436.443879999918863,1
89,2634758.014150000177324,1207433.981170000042766,1
90,2633985.201609999872744,1207444.314520000014454,1
91,2634229.133220000192523,1207444.103619999950752,1
92,2634096.703579999972135,1207441.503340000053868,1
93,2634743.020270000211895,1207458.363510000053793,1
94,2634121.625000000000000,1207469.500000000000000,1
95,2634340.155059999786317,1207465.536739999894053,1
96,2634232.633549999911338,1207466.174809999996796,1
97,2632766.437500000000000,1207485.125000000000000,1
98,2634216.804270000196993,1207484.500000000000000,1
99,2634363.700710000004619,1207473.284770000027493,1
100,2634397.949529999867082,1207494.718140000011772,1
101,2635056.534250000026077,1207498.895939999958500,1
102,2634219.969909999985248,1207500.352320000063628,1
103,2634235.473209999967366,1207499.485120000084862,1
104,2634208.299939999822527,1207494.578269999939948,1
105,2634356.383179999887943,1207492.182560000102967,1
106,2634150.324070000089705,1207519.250000000000000,1
107,2634074.559210000094026,1207519.480260000098497,1
108,2634369.341740000061691,1207519.581840000115335,1
109,2633813.503769999835640,1207531.100799999898300,1
110,2634185.625000000000000,1207532.343750000000000,1
111,2634198.282699999865144,1207531.466010000091046,1
112,2634271.436379999853671,1207536.814550000010058,1
113,2634272.685380000155419,1207543.016940000001341,1
114,2634266.433710000012070,1207544.296090000076219,1
115,2634006.992509999778122,1207558.378740000072867,1
116,2634118.021439999807626,1207557.724589999997988,1
117,2633801.000000000000000,1207562.000000000000000,1
118,2634136.593290000222623,1207567.095740000018850,1
119,2634927.740999999921769,1207570.155199999921024,1
120,2634952.040870000142604,1207577.306390000041574,1
121,2634213.889020000118762,1207564.455640000058338,1
122,2634368.932109999936074,1207617.436800000024959,1
123,2634454.633059999905527,1207624.229839999927208,1
124,2634852.445299999788404,1207628.283890000078827,1
125,2634333.756180000025779,1207641.388220000080764,1
126,2634150.923369999974966,1207673.806020000018179,1
127,2634719.189900000113994,1207698.497340000001714,1
128,2632673.750000000000000,1207702.000000000000000,1
129,2634887.875000000000000,1207715.000000000000000,1
130,2634842.932800000067800,1207724.802189999958500,1
131,2634845.107050000224262,1207738.297550000017509,1
