FID,x,y,lslpts
0,2657461.588440000079572,1137393.365320000099018,1
1,2657440.630599999800324,1137405.414180000079796,1
2,2657295.000000000000000,1137463.000000000000000,1
3,2657301.023529999889433,1137476.773529999889433,1
4,2657250.500000000000000,1137498.750000000000000,1
5,2657243.829140000045300,1137509.001799999969080,1
6,2657945.383330000098795,1137551.316670000087470,1
7,2658573.250000000000000,1137552.250000000000000,1
8,2658568.000000000000000,1137557.500000000000000,1
9,2657655.576090000104159,1137572.119570000097156,1
10,2657650.441110000014305,1137586.203329999931157,1
11,2658536.978699999861419,1137596.676149999955669,1
12,2658529.827419999986887,1137597.178950000088662,1
13,2657974.910709999967366,1137621.482139999978244,1
14,2657921.846659999806434,1137646.636020000092685,1
15,2657945.892469999846071,1137660.346670000115409,1
16,2657937.250000000000000,1137669.493049999931827,1
17,2657594.554380000103265,1137671.946569999912754,1
18,2657927.481329999864101,1137681.848530000075698,1
19,2657764.750000000000000,1137693.000000000000000,1
20,2657914.040320000145584,1137697.637099999934435,1
21,2657923.375000000000000,1137701.250000000000000,1
22,2659169.528770000208169,1137704.982739999890327,1
23,2657225.336959999985993,1137754.576090000104159,1
24,2657834.918579999823123,1137751.552679999964312,1
25,2658308.163219999987632,1137751.490849999943748,1
26,2659174.088010000064969,1137757.628879999974743,1
27,2657814.946260000113398,1137762.018380000023171,1
28,2657172.000000000000000,1137793.250000000000000,1
29,2657126.299999999813735,1137792.000000000000000,1
30,2657135.750000000000000,1137794.750000000000000,1
31,2657171.628049999941140,1137797.853660000022501,1
32,2658086.250000000000000,1137808.500000000000000,1
33,2658223.245349999982864,1137857.499289999948815,1
34,2657535.250000000000000,1137846.500000000000000,1
35,2659243.019220000132918,1137872.729939999990165,1
36,2659145.388749999925494,1137874.134670000057667,1
37,2658038.343299999833107,1137881.952580000041053,1
38,2658258.983200000133365,1137887.287550000008196,1
39,2657332.330000000074506,1137909.330000000074506,1
40,2657521.989219999872148,1137899.102939999895170,1
