FID,CID,x,y,lslpts
0,0,2656301.356170000042766,1139955.451099999947473,0
1,0,2661032.825370000209659,1140584.962390000000596,0
2,0,2656434.874220000114292,1139853.574040000094101,0
3,0,2658094.671209999825805,1137401.085560000035912,0
4,0,2662530.202870000153780,1141459.173389999894425,0
5,0,2658215.947809999808669,1139679.807950000045821,0
6,0,2658942.961780000012368,1139757.569339999929070,0
7,0,2656462.190549999941140,1139971.520530000096187,0
8,0,2660085.418130000121891,1138665.959169999929145,0
9,0,2660317.156239999923855,1139148.442740000085905,0
10,0,2656832.870879999827594,1139720.214410000015050,0
11,0,2660943.910550000146031,1140848.748459999915212,0
12,0,2656912.116299999877810,1137877.810210000025108,0
13,0,2659172.465909999795258,1139306.855840000091121,0
14,0,2659188.000210000202060,1139511.235559999942780,0
15,0,2660096.236560000106692,1138987.209920000052080,0
16,0,2658103.531030000187457,1139021.570490000071004,0
17,0,2658345.324779999908060,1139508.062840000027791,0
18,0,2661944.380119999870658,1141200.812279999954626,0
19,0,2659235.034320000093430,1139696.115590000059456,0
20,0,2658613.442199999932200,1138112.578949999995530,0
21,0,2660194.273419999983162,1139932.732319999951869,0
22,0,2657734.995180000085384,1138952.911559999920428,0
23,0,2660811.044639999978244,1138708.161199999973178,0
24,0,2656969.289799999911338,1139646.083589999936521,0
25,0,2660083.173669999931008,1139541.093520000111312,0
26,0,2660596.598999999929219,1138987.785519999917597,0
27,0,2658904.146850000135601,1139742.916939999908209,0
28,0,2658717.199370000045747,1138798.500290000112727,0
29,0,2661760.300669999793172,1140720.122680000029504,0
30,0,2658415.515629999805242,1137662.077929999912158,0
31,0,2662119.355099999811500,1141145.278750000055879,0
32,0,2657571.159640000201762,1138179.323430000105873,0
33,0,2658581.263449999969453,1139730.002099999925122,0
34,0,2657373.221559999976307,1139568.338939999928698,0
35,0,2659714.005960000213236,1138900.732370000099763,0
36,0,2657997.429250000044703,1138041.864719999954104,0
37,0,2657691.374450000002980,1137517.902569999918342,0
38,0,2658517.633189999964088,1138551.737509999889880,0
39,0,2661703.352880000136793,1140900.724619999993593,0
40,0,2659032.980140000116080,1138798.376530000008643,0
41,0,2658276.145070000085980,1138822.967279999982566,0
42,0,2660888.462299999780953,1140164.782739999936894,0
43,0,2659032.178720000199974,1138253.248320000013337,0
44,0,2659926.548320000059903,1138376.544939999934286,0
45,0,2658367.848300000187010,1138911.237889999989420,0
46,0,2658826.401279999874532,1138538.957940000109375,0
47,0,2657266.715309999883175,1137409.749899999937043,0
48,0,2659121.959799999836832,1139571.434210000094026,0
49,0,2659257.581290000118315,1138478.625209999969229,0
50,0,2659575.502249999903142,1138459.026049999985844,0
51,0,2660402.521610000170767,1140175.231300000101328,0
52,0,2660267.838920000009239,1140341.615139999892563,0
53,0,2657234.780640000011772,1138105.752139999996871,0
54,0,2660228.781340000219643,1138851.868329999968410,0
