FID,x,y,lslpts
0,2595153.878940000198781,1141945.070920000085607,1
1,2594990.673460000194609,1141953.604190000100061,1
2,2595182.855589999817312,1141955.029499999945983,1
3,2595096.422269999980927,1141996.077730000019073,1
4,2595070.000000000000000,1142127.000000000000000,1
5,2595436.378610000014305,1142350.699010000098497,1
6,2595463.393039999995381,1142369.604049999965355,1
7,2595546.677809999790043,1142424.059459999902174,1
8,2595542.701640000101179,1142418.928910000016913,1
9,2594151.583329999819398,1142467.055560000007972,1
10,2595470.274350000079721,1142481.689939999952912,1
11,2594163.543099999893457,1142488.456900000106543,1
12,2594191.995279999915510,1142489.033019999973476,1
13,2594424.590909999795258,1142488.454549999907613,1
14,2595492.949000000022352,1142492.302240000106394,1
15,2594146.288129999767989,1142488.210539999883622,1
16,2594245.092110000085086,1142498.381580000044778,1
17,2594171.500000000000000,1142498.750000000000000,1
18,2594440.018759999889880,1142836.004829999990761,1
19,2594205.900020000059158,1142496.500000000000000,1
20,2595470.250000000000000,1142510.500000000000000,1
21,2595488.795450000092387,1142510.670450000092387,1
22,2594131.302629999816418,1142512.460530000040308,1
23,2594194.465059999842197,1142506.088239999953657,1
24,2595437.875000000000000,1142508.000000000000000,1
25,2594194.071949999779463,1142517.259760000044480,1
26,2594182.174240000080317,1142518.022730000084266,1
27,2595485.000000000000000,1142514.250000000000000,1
28,2594145.740170000120997,1142516.641850000014529,1
29,2594255.397210000082850,1142522.143399999942631,1
30,2594218.250000000000000,1142526.500000000000000,1
31,2595492.671569999773055,1142532.171570000005886,1
32,2594206.733550000004470,1142536.924339999910444,1
33,2595512.250000000000000,1142575.000000000000000,1
34,2594268.016129999887198,1142584.129029999952763,1
35,2594100.500000000000000,1142591.000000000000000,1
36,2594257.178569999989122,1142601.736610000021756,1
37,2594055.884620000142604,1142613.192310000071302,1
38,2594093.000000000000000,1142617.458330000052229,1
39,2594072.637029999867082,1142589.750000000000000,1
40,2594178.334559999871999,1142624.805149999912828,1
41,2594122.000000000000000,1142623.250000000000000,1
42,2594169.210529999807477,1142628.289469999959692,1
43,2594161.901519999839365,1142631.007579999975860,1
44,2594071.036520000081509,1142626.673429999966174,1
45,2594156.625000000000000,1142629.250000000000000,1
46,2594244.750000000000000,1142631.000000000000000,1
47,2594364.820419999770820,1142636.911970000015572,1
48,2594145.750000000000000,1142637.850000000093132,1
49,2594343.111109999939799,1142640.361109999939799,1
50,2594042.250000000000000,1142641.250000000000000,1
51,2594227.281250000000000,1142645.510419999947771,1
52,2594020.500000000000000,1142648.000000000000000,1
53,2594191.386359999887645,1142644.787879999959841,1
54,2593999.000000000000000,1142649.250000000000000,1
55,2594028.680379999801517,1142646.798519999952987,1
56,2593994.805559999775141,1142652.277779999887571,1
57,2594348.940479999873787,1142651.797620000084862,1
58,2594386.522729999851435,1142652.613640000112355,1
59,2594062.455389999784529,1142646.245910000056028,1
60,2594214.592110000085086,1142657.750000000000000,1
61,2594209.061509999912232,1142656.013890000060201,1
62,2594150.648990000132471,1142659.861109999939799,1
63,2594176.875000000000000,1142666.500000000000000,1
64,2594155.423080000095069,1142674.980770000023767,1
65,2594036.331400000024587,1142675.598840000107884,1
66,2594059.731180000118911,1142665.993879999965429,1
67,2594139.894739999901503,1142678.690789999905974,1
68,2594031.601429999805987,1142682.941429999889806,1
69,2594084.702380000147969,1142687.607139999978244,1
70,2594156.742750000208616,1142685.934780000010505,1
71,2594012.250000000000000,1142685.500000000000000,1
72,2593967.453389999922365,1142687.065679999999702,1
73,2594045.736080000177026,1142685.539869999978691,1
74,2594110.500000000000000,1142683.000000000000000,1
75,2594091.250000000000000,1142690.883330000098795,1
76,2594343.985290000215173,1142692.544119999976829,1
77,2594053.250000000000000,1142697.000000000000000,1
78,2594128.878299999982119,1142692.965829999884591,1
79,2594222.273810000158846,1142702.011900000041351,1
80,2594041.216020000167191,1142701.208739999914542,1
81,2594127.168180000036955,1142702.672729999991134,1
82,2593996.003969999961555,1142704.551590000046417,1
83,2594152.860489999875426,1142706.103150000097230,1
84,2594103.237180000171065,1142709.467949999962002,1
85,2593975.750000000000000,1142711.500000000000000,1
86,2593950.750000000000000,1142699.750000000000000,1
87,2594020.500000000000000,1142705.500000000000000,1
88,2594198.304349999874830,1142712.589669999899343,1
89,2594003.500000000000000,1142709.500000000000000,1
90,2593947.625000000000000,1142715.750000000000000,1
91,2594072.985049999784678,1142723.793689999962226,1
92,2594087.594159999862313,1142724.159089999971911,1
93,2595329.317569999955595,1142725.695950000081211,1
94,2594488.811540000140667,1142725.283330000005662,1
95,2594179.195429999846965,1142723.380020000040531,1
96,2594371.375000000000000,1142725.500000000000000,1
97,2594362.125000000000000,1142729.750000000000000,1
98,2594406.373600000049919,1142729.581460000015795,1
99,2594464.750000000000000,1142732.416669999947771,1
100,2594465.671050000004470,1142735.171050000004470,1
101,2594081.375000000000000,1142735.093750000000000,1
102,2594016.750000000000000,1142734.636759999906644,1
103,2594511.250000000000000,1142740.250000000000000,1
104,2594355.751939999870956,1142740.201550000114366,1
105,2594064.625000000000000,1142731.000000000000000,1
106,2594454.138499999884516,1142741.821780000114813,1
107,2594424.426469999831170,1142747.250000000000000,1
108,2594520.375000000000000,1142744.500000000000000,1
109,2594091.250000000000000,1142747.750000000000000,1
110,2593993.000000000000000,1142748.482019999995828,1
111,2594504.125000000000000,1142737.557250000070781,1
112,2594604.250000000000000,1142750.500000000000000,1
113,2595303.117349999956787,1142749.362239999929443,1
114,2594010.127619999926537,1142748.770980000030249,1
115,2594365.000000000000000,1142755.000000000000000,1
116,2594468.065570000093430,1142750.000000000000000,1
117,2594100.618420000188053,1142754.030700000002980,1
118,2594000.250000000000000,1142755.475809999974445,1
119,2594178.200769999995828,1142750.442560000112280,1
120,2593976.464339999947697,1142753.513100000098348,1
121,2594113.741799999959767,1142753.572399999946356,1
122,2594060.284479999914765,1142759.508619999978691,1
123,2594526.942869999911636,1142756.786310000112280,1
124,2594386.807020000182092,1142757.616230000043288,1
125,2594018.427219999954104,1142761.560130000114441,1
126,2594269.500000000000000,1142763.750000000000000,1
127,2594096.457770000211895,1142759.940690000075847,1
128,2594036.741409999784082,1142764.621130000101402,1
129,2593999.000000000000000,1142765.250000000000000,1
130,2594550.125000000000000,1142767.500000000000000,1
131,2594233.625000000000000,1142746.757979999994859,1
132,2594117.875000000000000,1142769.250000000000000,1
133,2594457.500000000000000,1142770.500000000000000,1
134,2594475.000000000000000,1142767.750000000000000,1
135,2594272.937500000000000,1142777.666669999947771,1
136,2594475.603850000072271,1142777.773079999955371,1
137,2594055.513300000224262,1142775.604379999917001,1
138,2594101.000000000000000,1142776.000000000000000,1
139,2594174.885290000122041,1142779.644120000069961,1
140,2594441.043310000095516,1142874.206440000096336,1
141,2594457.509260000195354,1142782.305560000007972,1
142,2594524.655410000123084,1142784.831079999916255,1
143,2593960.398899999912828,1142782.829940000083297,1
144,2594656.806179999839514,1142787.109549999935552,1
145,2594649.125000000000000,1142787.250000000000000,1
146,2593976.778299999888986,1142789.844340000068769,1
147,2594605.429490000009537,1142791.480770000023767,1
148,2594055.000000000000000,1142792.250000000000000,1
149,2594019.500000000000000,1142790.250000000000000,1
150,2594039.558000000193715,1142792.621999999973923,1
151,2594466.681820000056177,1142795.409089999971911,1
152,2594503.859410000033677,1142795.612519999966025,1
153,2593908.250000000000000,1142799.328979999991134,1
154,2594247.105119999963790,1142797.647529999958351,1
155,2594078.142130000051111,1142796.440639999927953,1
156,2593930.825470000039786,1142803.172340000048280,1
157,2594497.812500000000000,1142806.208330000052229,1
158,2594326.090139999985695,1142803.664970000041649,1
159,2594717.403059999924153,1142807.668370000086725,1
160,2594307.177139999810606,1142812.778309999965131,1
161,2594041.523719999939203,1142809.760950000025332,1
162,2594149.330939999781549,1142807.663840000052005,1
163,2594092.475000000093132,1142812.375000000000000,1
164,2594175.875000000000000,1142793.500000000000000,1
165,2594446.840909999795258,1142814.659089999971911,1
166,2594716.698280000127852,1142815.525859999936074,1
167,2594332.139779999852180,1142811.255379999987781,1
168,2594225.733469999860972,1142816.097109999973327,1
169,2594068.130950000137091,1142818.130949999904260,1
170,2594272.375000000000000,1142817.000000000000000,1
171,2594707.875000000000000,1142817.750000000000000,1
172,2594090.125000000000000,1142819.250000000000000,1
173,2594148.263509999960661,1142819.574319999897853,1
174,2594628.720590000040829,1142820.867649999912828,1
175,2593981.681369999889284,1142822.455880000023171,1
176,2594081.267539999913424,1142825.986839999910444,1
177,2594357.000000000000000,1142828.750000000000000,1
178,2594598.688310000114143,1142828.214290000032634,1
179,2594343.127379999961704,1142824.489779999945313,1
180,2594072.000000000000000,1142833.750000000000000,1
181,2594094.240739999804646,1142834.833330000052229,1
182,2594569.512500000186265,1142836.074999999953434,1
183,2594088.533330000005662,1142836.541669999947771,1
184,2594154.750000000000000,1142837.500000000000000,1
185,2594249.750000000000000,1142819.500000000000000,1
186,2594014.985290000215173,1142839.573529999936000,1
187,2594121.408449999988079,1142836.845070000039414,1
188,2594160.000000000000000,1142840.000000000000000,1
189,2594085.684779999777675,1142840.184780000010505,1
190,2594544.838239999953657,1142840.720590000040829,1
191,2594631.651529999915510,1142836.181300000054762,1
192,2594018.183329999912530,1142840.538889999967068,1
193,2594078.930559999775141,1142843.166669999947771,1
194,2594166.125000000000000,1142823.250000000000000,1
195,2594596.207140000071377,1142841.778570000082254,1
196,2594618.689999999944121,1142844.350000000093132,1
197,2594666.142860000021756,1142843.500000000000000,1
198,2594048.894230000209063,1142844.105770000023767,1
199,2593950.250000000000000,1142842.250000000000000,1
200,2594202.683889999985695,1142838.613929999992251,1
201,2594221.250000000000000,1142845.500000000000000,1
202,2594191.375000000000000,1142846.750000000000000,1
203,2594228.510120000224560,1142845.241330000106245,1
204,2594067.982919999863952,1142846.340060000075027,1
205,2594258.000000000000000,1142847.500000000000000,1
206,2594027.398149999789894,1142845.932539999950677,1
207,2594135.750000000000000,1142830.000000000000000,1
208,2594658.780300000216812,1142857.734849999891594,1
209,2594002.010939999949187,1142854.560939999995753,1
210,2594585.000000000000000,1142860.000000000000000,1
211,2594642.615379999857396,1142864.711540000047535,1
212,2594652.062500000000000,1142863.687500000000000,1
213,2594627.125000000000000,1142864.500000000000000,1
214,2594832.318489999976009,1142862.649539999896660,1
215,2594495.250000000000000,1142864.250000000000000,1
216,2594615.103660000022501,1142865.179269999964163,1
