FID,x,y,lslpts
0,2592611.949490000028163,1144929.537650000071153,0
1,2591349.991369999945164,1146472.304590000072494,0
2,2591145.590350000187755,1147242.609420000109822,0
3,2594850.784899999853224,1146317.252940000034869,0
4,2591151.784690000116825,1147203.716380000114441,0
5,2595096.337480000220239,1142384.241990000009537,0
6,2591454.681299999821931,1146457.919759999960661,0
7,2592865.060889999847859,1144222.584950000047684,0
8,2592400.726660000160336,1147791.357980000087991,0
9,2593796.546029999852180,1148647.996680000098422,0
10,2595172.309859999921173,1143645.987859999993816,0
11,2592738.142990000080317,1148515.535080000059679,0
12,2593407.618549999780953,1147604.748480000067502,0
13,2592655.134589999914169,1145781.494459999958053,0
14,2592619.852169999852777,1147339.582149999914691,0
15,2592064.933160000015050,1145837.964399999938905,0
16,2594344.624640000052750,1148397.668830000096932,0
17,2594034.857410000171512,1145012.856609999900684,0
18,2595787.218009999953210,1144665.761329999892041,0
19,2592370.456840000115335,1146300.575799999991432,0
20,2593984.762629999779165,1144133.549679999938235,0
21,2593743.167690000031143,1143068.671989999944344,0
22,2595364.566459999885410,1144627.050890000071377,0
23,2594521.052370000164956,1143869.116209999890998,0
24,2594367.947070000227541,1147472.976610000012442,0
25,2591597.634229999966919,1144926.953660000115633,0
26,2591875.772100000176579,1143990.635629999917001,0
27,2593844.146720000077039,1148625.409800000023097,0
28,2594020.022719999775290,1144836.149470000062138,0
29,2594825.377989999949932,1144836.936789999948815,0
30,2592535.958529999945313,1147015.605599999893457,0
31,2590347.306849999818951,1148618.979250000091270,0
32,2594288.151010000146925,1147245.909680000040680,0
33,2589849.375690000131726,1148051.268789999885485,0
34,2595570.612739999778569,1144924.368560000089929,0
35,2592824.334879999980330,1144233.269540000008419,0
36,2591954.355150000192225,1145680.583219999913126,0
37,2596006.758390000090003,1144252.699079999933019,0
38,2595166.915959999896586,1143405.688629999989644,0
39,2594220.697999999858439,1145453.996569999959320,0
40,2593458.811879999935627,1145557.099960000021383,0
41,2590329.227599999867380,1147204.414619999937713,0
42,2590443.350209999829531,1147301.945379999931902,0
43,2594295.071539999917150,1145471.737680000020191,0
44,2595050.279509999789298,1143277.667459999909624,0
45,2592122.443810000084341,1148500.693470000056550,0
46,2592919.790409999899566,1145023.895269999979064,0
47,2594898.080420000012964,1146307.900589999975637,0
48,2592447.961699999868870,1144540.085309999994934,0
49,2592237.539630000013858,1144629.195869999937713,0
50,2592177.805159999988973,1146502.786319999955595,0
51,2592993.622849999926984,1143887.521919999970123,0
52,2591228.785209999885410,1147930.644099999917671,0
53,2594047.674810000229627,1148293.876930000027642,0
54,2595255.210599999874830,1146116.652810000116006,0
55,2594689.870219999924302,1142952.838909999933094,0
56,2593132.581400000024587,1146426.844610000029206,0
57,2594896.652120000217110,1145734.888190000085160,0
58,2590068.745529999956489,1147299.086429999908432,0
59,2594958.144849999807775,1146693.686070000054315,0
60,2592151.642459999769926,1144091.104850000003353,0
61,2592656.088179999962449,1144459.792900000000373,0
62,2594560.118180000223219,1144620.675139999948442,0
63,2595527.127909999806434,1145364.587890000082552,0
64,2593754.154759999830276,1143478.730419999919832,0
65,2591154.960070000030100,1147805.014239999931306,0
66,2595576.106120000127703,1142800.540730000007898,0
67,2590494.644270000047982,1146862.963089999975637,0
68,2590208.857720000203699,1147257.650769999949262,0
69,2592467.084960000123829,1145830.641749999951571,0
70,2595124.170739999972284,1143420.762510000029579,0
71,2593072.666720000095665,1146284.470310000004247,0
72,2593278.909640000201762,1146106.533880000002682,0
73,2594388.360040000174195,1143889.595720000099391,0
74,2591275.779860000126064,1145742.587400000076741,0
75,2595509.855570000130683,1142487.410880000097677,0
76,2593384.621199999935925,1146117.913990000030026,0
77,2592476.991719999816269,1148619.585979999974370,0
78,2592673.268039999995381,1148067.522240000078455,0
79,2592419.305009999778122,1145701.635280000045896,0
80,2595057.030869999900460,1144863.869359999895096,0
81,2592611.238549999892712,1144893.141920000081882,0
82,2591524.091430000029504,1144747.682379999896511,0
83,2591329.049930000212044,1145132.153960000025108,0
84,2590270.165889999829233,1148221.801759999943897,0
85,2595980.480849999934435,1144423.281220000004396,0
86,2591232.435630000196397,1148179.463930000085384,0
87,2594865.436439999844879,1145509.405079999938607,0
88,2591067.469240000005811,1147912.669939999934286,0
89,2593069.808110000099987,1147293.348299999954179,0
90,2591994.390389999840409,1144653.979929999914020,0
91,2593481.529889999888837,1147473.994470000034198,0
92,2594168.372179999947548,1144442.551209999946877,0
93,2593469.724059999920428,1147321.826529999962077,0
94,2592951.424139999784529,1148399.033370000077412,0
95,2593116.440070000011474,1148851.478429999900982,0
96,2595148.140819999855012,1146350.625669999979436,0
97,2592887.489310000091791,1143405.864280000096187,0
98,2591133.195600000210106,1146033.784579999977723,0
99,2595759.469419999979436,1143990.736620000097901,0
100,2595337.623389999847859,1145763.554380000103265,0
101,2592019.015800000168383,1145812.423639999935403,0
102,2594641.718750000000000,1145596.461020000046119,0
103,2592589.648080000188202,1143157.644370000110939,0
104,2593749.869380000047386,1145950.141740000108257,0
105,2591828.243629999924451,1146728.335590000031516,0
106,2594265.292549999896437,1145596.051310000009835,0
107,2593067.077649999875575,1146470.905130000086501,0
108,2590523.925389999989420,1148353.257160000037402,0
109,2592771.484509999863803,1146400.847950000083074,0
110,2594167.937369999941438,1146316.047269999980927,0
111,2590994.144129999913275,1147698.500819999957457,0
112,2592799.572170000057667,1144848.855999999912456,0
113,2589764.472980000078678,1147014.113670000107959,0
114,2593923.380049999803305,1147016.433010000037029,0
115,2590964.216169999912381,1148107.506049999967217,0
116,2589491.963500000070781,1147056.178319999948144,0
117,2594837.662349999882281,1144303.256430000066757,0
118,2593391.634010000154376,1145821.163089999929070,0
119,2593346.519359999801964,1146143.308590000029653,0
120,2595601.037570000160486,1143768.604449999984354,0
121,2595032.347550000064075,1142074.593859999906272,0
122,2589713.968160000164062,1146965.016940000001341,0
123,2591591.184869999997318,1146180.127980000106618,0
124,2591424.606430000159889,1147703.757220000028610,0
125,2591262.281810000073165,1148685.413130000000820,0
126,2593804.961850000079721,1148709.685060000047088,0
127,2591505.101890000049025,1144820.210299999918789,0
128,2594673.971719999797642,1144099.818690000101924,0
129,2591028.311780000105500,1146530.527840000111610,0
130,2591773.942679999861866,1146040.782270000083372,0
131,2591114.423140000086278,1148711.887309999903664,0
132,2593928.949159999843687,1145170.351569999940693,0
133,2595842.538819999899715,1143948.980620000045747,0
134,2594758.613679999951273,1146015.188150000059977,0
135,2595729.548799999989569,1143195.901259999955073,0
136,2594145.386969999875873,1146862.798399999970570,0
137,2595818.823520000092685,1144364.394730000058189,0
138,2593140.064079999923706,1144039.761059999931604,0
139,2591738.267500000074506,1146750.876679999986663,0
140,2594811.213860000018030,1142745.543330000014976,0
141,2595419.040969999972731,1142299.522429999895394,0
142,2592685.166639999952167,1143174.640609999885783,0
143,2590068.133320000022650,1148326.749689999967813,0
144,2591515.706670000217855,1144635.886020000092685,0
145,2590330.947939999867231,1148074.404339999891818,0
146,2592824.726280000060797,1146119.725610000081360,0
147,2595447.024199999868870,1143866.760410000104457,0
148,2592698.697149999905378,1144596.960059999953955,0
149,2592959.711029999889433,1146746.828620000043884,0
150,2592056.342629999853671,1147516.652890000026673,0
151,2595538.323170000221580,1144739.314229999901727,0
152,2593985.582440000027418,1148674.956840000115335,0
153,2593801.361860000062734,1144121.499450000002980,0
154,2595913.341099999845028,1143856.391940000001341,0
155,2590098.335150000173599,1147257.533139999955893,0
156,2594426.406700000166893,1143178.490479999920353,0
157,2593226.981519999913871,1143741.307019999949262,0
158,2592746.280660000164062,1144994.166870000073686,0
159,2594603.111250000074506,1145039.338780000107363,0
160,2595475.856560000218451,1143480.496070000110194,0
161,2594397.488189999945462,1144135.302369999932125,0
162,2594893.421120000071824,1145827.594719999935478,0
