FID,x,y,lslpts
0,2682041.725810000207275,1157080.153230000054464,1
1,2681751.130260000005364,1157967.750000000000000,1
2,2681753.255090000107884,1157978.500000000000000,1
3,2681768.250000000000000,1157988.000000000000000,1
4,2681779.250000000000000,1158001.750000000000000,1
5,2681830.375000000000000,1158021.500000000000000,1
6,2681769.305809999816120,1158025.890700000105426,1
7,2681791.375000000000000,1158044.250000000000000,1
8,2681286.000000000000000,1158312.500000000000000,1
9,2680396.151939999777824,1158403.174230000004172,1
10,2681329.875000000000000,1158413.750000000000000,1
11,2681436.750000000000000,1158413.750000000000000,1
12,2680033.807690000161529,1158415.134619999909773,1
13,2681327.250000000000000,1158416.750000000000000,1
14,2681452.211540000047535,1158418.019229999976233,1
15,2679712.560680000111461,1158417.483010000083596,1
16,2679705.250000000000000,1158420.500000000000000,1
17,2679671.712960000149906,1158422.083330000052229,1
18,2680203.500000000000000,1158432.500000000000000,1
19,2681497.780890000052750,1158431.285709999967366,1
20,2680085.776320000179112,1158438.486839999910444,1
21,2680091.500000000000000,1158439.250000000000000,1
22,2679935.477190000005066,1158554.775559999980032,1
23,2679704.625000000000000,1158453.000000000000000,1
24,2679685.750000000000000,1158450.750000000000000,1
25,2679697.042830000165850,1158483.806069999933243,1
26,2680465.152019999921322,1158491.813589999917895,1
27,2680170.137500000186265,1158503.225000000093132,1
28,2680108.310300000011921,1158528.370600000023842,1
29,2679917.589999999850988,1158532.830000000074506,1
30,2679912.250000000000000,1158533.000000000000000,1
31,2680138.445400000084192,1158538.301720000104979,1
32,2679872.423080000095069,1158541.615380000090227,1
33,2679900.744950000196695,1158543.027779999887571,1
34,2679930.250000000000000,1158545.250000000000000,1
35,2680138.452209999784827,1158550.088239999953657,1
36,2680092.229170000180602,1158564.583330000052229,1
37,2680152.250000000000000,1158568.250000000000000,1
38,2680109.875000000000000,1158572.500000000000000,1
39,2679924.375000000000000,1158600.750000000000000,1
40,2680231.750000000000000,1158598.250000000000000,1
41,2679939.503010000102222,1158607.737949999980628,1
42,2680254.125000000000000,1158616.750000000000000,1
43,2680244.154759999830276,1158619.107139999978244,1
44,2679937.000000000000000,1158621.750000000000000,1
45,2680143.000000000000000,1158622.000000000000000,1
46,2680251.888890000060201,1158629.250000000000000,1
47,2679966.970000000204891,1158633.449999999953434,1
48,2681293.981480000074953,1158633.398150000022724,1
49,2679962.500000000000000,1158636.000000000000000,1
50,2679951.500000000000000,1158639.500000000000000,1
51,2680279.269799999892712,1158649.951319999992847,1
52,2680237.657999999821186,1158668.825999999884516,1
53,2681396.037870000116527,1158667.251699999906123,1
54,2680080.838239999953657,1158675.627009999938309,1
55,2680276.881579999811947,1158678.592110000085086,1
