FID,x,y,lslpts
0,2686323.908979999832809,1165446.597649999894202,0
1,2683651.913900000043213,1165237.547500000102445,0
2,2680410.953189999796450,1161619.431689999997616,0
3,2678242.887430000118911,1159384.712349999928847,0
4,2684439.016030000057071,1162075.723779999883845,0
5,2682504.546529999934137,1160968.429299999959767,0
6,2681832.076820000074804,1162416.920739999972284,0
7,2678799.722169999964535,1159638.494299999903888,0
8,2681578.947019999846816,1159685.170940000098199,0
9,2680938.709759999997914,1159396.505060000112280,0
10,2682012.675960000138730,1162117.003959999885410,0
11,2681019.043209999799728,1160510.398190000094473,0
12,2681728.869280000217259,1157511.332600000081584,0
13,2685934.074570000171661,1164196.362710000015795,0
14,2679305.983339999802411,1160916.952640000032261,0
15,2679133.830930000171065,1161096.146909999893978,0
16,2680012.876819999888539,1159967.131079999962822,0
17,2680937.893139999825507,1160559.457489999942482,0
18,2681583.007149999961257,1160377.482469999929890,0
19,2682808.534310000017285,1158701.434859999921173,0
20,2685922.286960000172257,1162515.259760000044480,0
21,2686773.841359999962151,1165016.987919999985024,0
22,2678428.941949999891222,1158871.230299999937415,0
23,2685786.546169999986887,1164475.852299999911338,0
24,2682542.841630000155419,1158931.700650000013411,0
25,2678970.624090000055730,1159096.278129999991506,0
26,2681950.626269999891520,1162584.217859999975190,0
27,2679034.763700000010431,1160169.583180000074208,0
28,2679412.849239999894053,1158614.163500000024214,0
29,2685001.702860000077635,1165301.372100000036880,0
30,2682069.404949999880046,1157172.832669999916106,0
31,2682969.240060000214726,1158874.914679999928921,0
32,2683907.570540000218898,1162547.575710000004619,0
33,2686234.297950000036508,1164543.714119999902323,0
34,2678902.071510000154376,1159419.711099999956787,0
35,2682671.693059999961406,1160861.171450000023469,0
36,2680401.027410000097007,1161327.374069999903440,0
37,2685660.550689999945462,1163252.539520000107586,0
38,2684300.488299999851733,1162829.081299999961630,0
39,2682817.462050000205636,1161298.189719999907538,0
40,2681613.298839999828488,1158753.669840000104159,0
41,2687058.074690000154078,1164287.701200000010431,0
42,2683729.101989999879152,1163284.456659999908879,0
43,2685178.413989999797195,1163428.512050000019372,0
44,2678201.663980000186712,1160487.937669999897480,0
45,2681339.989589999895543,1158770.479860000079498,0
46,2682187.674649999942631,1162092.286229999968782,0
47,2686107.996879999991506,1162380.259120000060648,0
48,2686083.303729999810457,1164020.728120000101626,0
49,2687659.068690000101924,1165537.734029999934137,0
50,2685095.646459999959916,1162333.716049999929965,0
51,2681865.817129999864846,1158362.714940000092611,0
52,2686624.903940000105649,1165439.808859999990091,0
53,2683267.292979999911040,1163475.717239999910817,0
54,2681208.701359999831766,1158749.933050000108778,0
55,2680455.754220000002533,1160918.786069999914616,0
56,2680973.239329999778420,1162551.353279999922961,0
57,2680676.331110000144690,1159783.635879999957979,0
58,2680190.777799999807030,1161601.323379999957979,0
59,2687631.891820000018924,1165611.424979999894276,0
60,2685026.025919999927282,1163808.296379999956116,0
61,2681761.104270000010729,1162001.789170000003651,0
62,2682753.693690000101924,1162993.834879999980330,0
63,2687072.036390000022948,1166327.713310000021011,0
64,2687087.527379999868572,1166483.586979999905452,0
65,2677948.957460000179708,1159356.790710000088438,0
66,2680843.202349999919534,1161961.080340000102296,0
67,2677665.130559999961406,1158904.441469999961555,0
68,2681245.699099999852479,1159697.754399999976158,0
69,2683306.671560000162572,1163078.975229999981821,0
70,2680525.506599999964237,1161630.264419999904931,0
71,2677998.408059999812394,1159556.863799999933690,0
72,2684902.409979999996722,1163129.074109999928623,0
73,2683062.552709999959916,1162902.116200000047684,0
74,2685641.550439999904484,1163149.772259999997914,0
75,2685061.014260000083596,1161683.186160000041127,0
76,2679147.433279999997467,1161765.957480000099167,0
77,2684274.611390000209212,1162660.982610000064597,0
78,2684478.903080000076443,1161844.532570000039414,0
79,2682171.735429999884218,1158800.131509999977425,0
80,2684776.161410000175238,1164578.597679999889806,0
81,2687919.958260000217706,1165166.489370000082999,0
82,2681347.293810000177473,1160000.304920000024140,0
83,2678934.204779999796301,1161671.611830000067130,0
84,2679375.342050000093877,1158579.464069999987260,0
85,2682763.180559999775141,1163987.960519999964163,0
86,2679907.458699999842793,1159577.782129999948665,0
87,2685622.697840000037104,1162429.833099999930710,0
88,2683122.024100000038743,1163100.317010000115260,0
89,2686018.894400000106543,1164010.759709999896586,0
90,2683142.745819999836385,1162110.199150000000373,0
91,2679051.955870000179857,1158985.285720000043511,0
92,2681930.463930000085384,1158715.568310000002384,0
93,2684349.457380000036210,1163423.293150000041351,0
94,2678672.560730000026524,1158634.423650000011548,0
95,2681336.983370000030845,1157744.938150000059977,0
96,2680033.708490000106394,1160483.884379999944940,0
97,2686548.932210000231862,1166745.500590000068769,0
98,2680131.553210000041872,1158338.617850000038743,0
99,2684228.617990000173450,1162027.945490000071004,0
100,2687280.539609999861568,1165888.770879999967292,0
101,2683735.377640000078827,1162834.831430000020191,0
102,2680256.592050000093877,1162011.180699999909848,0
103,2687481.171310000121593,1164686.440029999939725,0
104,2684131.125810000114143,1164546.979069999884814,0
105,2682836.138009999878705,1160477.493990000104532,0
106,2684843.428720000199974,1164100.723269999958575,0
107,2681543.370289999991655,1162541.962109999964014,0
108,2684571.650289999786764,1163047.014230000087991,0
109,2682748.887469999957830,1164260.044849999947473,0
110,2683829.801210000179708,1160207.074229999911040,0
111,2679747.636220000218600,1159968.722910000011325,0
112,2687857.551580000203103,1166198.061220000032336,0
113,2681544.823989999946207,1162648.210549999959767,0
114,2684944.774660000111908,1164699.985719999996945,0
115,2680068.593969999812543,1158625.657600000035018,0
116,2685341.606519999913871,1163341.491970000090078,0
117,2686049.789640000090003,1164252.376660000067204,0
118,2678420.758309999946505,1161386.080109999980778,0
119,2682150.136469999793917,1157708.654559999937192,0
120,2682329.632960000075400,1160675.231979999924079,0
121,2685097.428940000012517,1161463.032929999986663,0
122,2681583.243780000135303,1159171.682509999955073,0
123,2679017.378399999812245,1161303.453680000035092,0
124,2684434.528489999938756,1163641.833009999943897,0
125,2679166.417789999861270,1160700.448420000029728,0
126,2682453.875289999879897,1162420.712400000076741,0
127,2681718.499259999953210,1161078.539309999905527,0
128,2678766.975480000022799,1160892.948890000116080,0
129,2684711.304990000091493,1161669.800760000012815,0
130,2683275.260739999823272,1160549.391090000048280,0
131,2684893.649540000129491,1164207.560310000088066,0
132,2680473.247279999777675,1160279.299899999983609,0
133,2683766.140879999846220,1163373.520530000096187,0
134,2682178.826249999925494,1160705.943029999965802,0
135,2678625.350899999961257,1158686.167949999915436,0
136,2682033.743100000079721,1162900.710840000072494,0
137,2679787.028440000023693,1158851.143829999957234,0
138,2682655.632919999770820,1161102.667829999933019,0
139,2685179.527809999883175,1161506.547539999941364,0
140,2684661.608930000104010,1162608.519540000008419,0
141,2683141.207859999965876,1163370.924469999969006,0
142,2683235.060039999894798,1163722.305669999914244,0
143,2684400.902100000064820,1164226.309840000001714,0
144,2681995.986039999872446,1159406.900320000015199,0
145,2680852.241210000123829,1159116.398760000010952,0
146,2681793.872409999836236,1158431.106799999950454,0
147,2685837.644919999875128,1162348.653699999907985,0
148,2679012.107679999899119,1160347.647730000084266,0
149,2681479.454880000092089,1160494.738850000081584,0
150,2685860.263970000203699,1163896.263830000068992,0
151,2682539.753219999838620,1159998.726759999990463,0
152,2685370.946599999908358,1163917.733699999982491,0
153,2687194.129189999774098,1166296.306910000042990,0
154,2685556.242440000176430,1162271.107589999912307,0
155,2682731.351609999779612,1163627.303450000006706,0
156,2679016.247599999886006,1160241.801200000103563,0
157,2684521.721059999894351,1162456.491859999950975,0
158,2682541.252799999900162,1163132.982450000010431,0
159,2679207.888069999869913,1162633.439419999951497,0
160,2683128.153690000064671,1161023.092759999912232,0
161,2680019.027900000102818,1162493.544019999913871,0
162,2686252.111200000159442,1163778.271189999999478,0
163,2678365.425760000012815,1161585.800869999919087,0
164,2679174.881649999879301,1158775.984459999948740,0
165,2684870.723679999820888,1163355.740460000000894,0
166,2679652.344969999976456,1160586.848860000027344,0
167,2679723.817700000014156,1161613.572649999987334,0
168,2683266.042570000048727,1163020.112459999974817,0
169,2678363.884970000013709,1159338.096089999889955,0
170,2682540.425509999971837,1162417.158479999983683,0
171,2685127.280129999853671,1161467.265420000068843,0
172,2680263.104509999975562,1160770.883790000109002,0
173,2678035.400340000167489,1158572.504590000025928,0
174,2686435.984970000106841,1166063.873930000001565,0
175,2677845.094430000055581,1158653.625770000042394,0
176,2683042.658290000166744,1163978.607569999992847,0
177,2680815.906219999771565,1159321.463310000021011,0
178,2677390.715520000085235,1158865.345449999906123,0
179,2679336.234649999998510,1158654.134719999972731,0
180,2680525.258820000104606,1160468.984359999885783,0
181,2678442.576080000028014,1160269.418190000113100,0
182,2679258.590840000193566,1158941.991089999908581,0
183,2681974.830990000162274,1159456.227930000051856,0
184,2687083.547040000092238,1166812.354539999971166,0
185,2678708.678669999819249,1160942.701889999909326,0
186,2686786.446289999876171,1165806.818440000060946,0
187,2678829.894460000097752,1159531.573940000031143,0
188,2678727.496989999897778,1161428.716090000001714,0
189,2684225.421349999960512,1162657.557180000003427,0
190,2683292.143110000062734,1163909.406930000055581,0
191,2680190.286499999929219,1160941.219090000027791,0
192,2680069.873980000149459,1158559.445700000040233,0
193,2678267.291220000013709,1160129.256039999891073,0
194,2685565.805019999854267,1165518.962169999955222,0
195,2681143.838140000123531,1157869.534340000012890,0
196,2685184.975569999776781,1163453.789460000116378,0
197,2680050.210529999807477,1159008.533400000073016,0
198,2685615.288699999917299,1163922.623559999978170,0
199,2679867.598850000184029,1158581.846399999922141,0
200,2687927.173739999998361,1165610.284710000036284,0
201,2680074.656140000093728,1159759.476869999896735,0
202,2687113.374210000038147,1166155.803079999983311,0
203,2679574.382249999791384,1160164.380869999993593,0
204,2683042.731039999984205,1160712.518230000045151,0
205,2678808.203129999805242,1159195.768489999929443,0
206,2680215.555910000111908,1163021.220699999947101,0
207,2680785.806710000149906,1161085.274230000097305,0
208,2687040.962280000094324,1164658.795069999992847,0
209,2678043.349270000122488,1159132.874220000114292,0
210,2684247.520750000141561,1162038.362539999885485,0
211,2680634.504449999891222,1163176.402470000088215,0
212,2681567.866160000208765,1158295.967059999937192,0
213,2680386.616349999792874,1163032.067240000003949,0
214,2680826.434439999982715,1159830.523929999908432,0
215,2684720.993910000193864,1163827.072410000022501,0
216,2682529.888350000139326,1158992.602260000072420,0
217,2678250.323460000101477,1159368.583719999995083,0
218,2679824.934599999804050,1161742.414499999955297,0
219,2682226.129869999829680,1157405.447129999985918,0
220,2684370.991049999836832,1161278.330310000106692,0
221,2679790.514500000048429,1159584.738360000075772,0
222,2681655.938409999944270,1159745.626159999985248,0
223,2680121.749319999944419,1161156.887069999938831,0
224,2678342.047850000206381,1161556.038759999908507,0
